Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,Percentage_CO2_Emission
Bolivia,BOL,2021,23.321669,0.013237,13.30371,8.523604,1.419773,0.061344,,1.930686,0.06282125582036663
Cuba,CUB,2021,22.05733,0.005078,19.137243,2.209094,0.633291,0.072624,,1.959542,0.05941552341919644
Angola,AGO,2021,21.362717,0.0,13.901716,2.951298,1.12373,3.385974,,0.619141,0.057544454030073716
Ghana,GHA,2021,21.312801,0.0,13.113984,4.751163,2.321083,1.126571,,0.649127,0.05740999599426464
Sudan,SDN,2021,21.038215,0.0,19.02682,0.0,1.555589,0.455806,,0.460786,0.0566703475003815
Sri Lanka,LKA,2021,20.78091,6.076669,13.193056,0.0,1.511185,0.0,,0.954416,0.055977248596145286
Laos,LAO,2021,20.7775,15.103899,3.624343,0.0,2.049258,0.0,,2.798295,0.05596806312651413
Guatemala,GTM,2021,20.327104,5.538529,13.314592,0.0,1.380153,0.093831,,1.154393,0.05475483767783505
Kenya,KEN,2021,19.875403,1.702633,14.589333,0.0,3.583437,0.0,,0.374968,0.053538096968783935
Cambodia,KHM,2021,19.028598,4.698298,8.981376,0.0,5.325217,0.023707,,1.14706,0.05125707010338398
Ethiopia,ETH,2021,17.792552,1.264484,12.614389,0.0,3.91368,0.0,,0.147922,0.04792755016329132
Croatia,HRV,2021,17.701451,1.685619,9.05049,5.310927,1.212949,0.288184,0.153282,4.359818,0.04768215266508948
Nepal,NPL,2021,14.173067,3.642545,6.767824,0.0,3.762698,0.0,,0.471885,0.03817779369762071
Lithuania,LTU,2021,13.880837,0.731517,8.376843,4.00437,0.556685,0.18161,0.02981,4.981189,0.037390617806033116
Senegal,SEN,2021,13.59791,2.190262,8.700009,0.033937,2.673702,0.0,,0.80572,0.0366285012763161
Bosnia and Herzegovina,BIH,2021,13.566311,8.294507,4.41825,0.488297,0.365257,0.0,,4.147523,0.03654338348896273
Tanzania,TZA,2021,13.058865,1.983202,6.468557,2.082976,2.52413,0.0,,0.205366,0.03517648324777408
Panama,PAN,2021,13.03162,2.924487,8.625756,0.911482,0.569895,0.0,,2.994902,0.035103093769738615
Slovenia,SVN,2021,12.54933,3.614252,6.3875,1.842921,0.474881,0.125095,0.104681,5.921143,0.033803955896304055
Yemen,YEM,2021,12.476597,0.245909,9.59251,0.206611,0.663596,1.767971,,0.378289,0.03360803602454948
Afghanistan,AFG,2021,11.874211,4.203536,7.41957,0.238847,0.012259,0.0,,0.296119,0.031985397224187154
Côte d'Ivoire,CIV,2021,11.706642,0.0,6.748904,4.929332,0.0,0.028407,,0.426033,0.03153401893661421
Zimbabwe,ZWE,2021,11.296114,7.22562,3.500879,0.0,0.569615,0.0,,0.706293,0.030428185365722536
Georgia,GEO,2021,11.009796,0.527202,3.384559,6.03902,1.056685,0.002331,,2.929711,0.02965693454641043
Honduras,HND,2021,10.897812,0.0,10.115401,0.0,0.782411,0.0,,1.060269,0.029355284801197604
Brunei Darussalam,BRN,2021,10.480519,0.385681,3.878683,5.810752,0.0,0.405403,,23.532003,0.0282312284437796
Estonia,EST,2021,10.449021,6.221633,3.226733,0.914581,0.020121,2.8e-05,0.065924,7.864087,0.028146382718723224
Tajikistan,TJK,2021,10.336408,5.184992,2.786801,0.311116,2.053499,0.0,,1.060138,0.02784303864494794
Kyrgyzstan,KGZ,2021,9.308101,3.599533,4.234129,0.691823,0.782616,0.0,,1.425929,0.025073102363420495
Cameroon,CMR,2021,9.297284,0.0,5.055503,1.611417,1.162479,1.467885,,0.341829,0.02504396476078112
Paraguay,PRY,2021,8.576565,0.001891,8.171023,0.0,0.40365,0.0,,1.279359,0.02310257400210091
Papua New Guinea,PNG,2021,8.509555,0.0,7.594429,0.791403,0.0,0.123723,,0.85528,0.022922070095947253
Luxembourg,LUX,2021,8.354555,0.20919,6.125559,1.571392,0.399139,3.7e-05,0.049238,13.067857,0.02250454874907637
Costa Rica,CRI,2021,7.819507,0.0,7.082909,0.0,0.736598,0.0,,1.517185,0.0210632973839114
Benin,BEN,2021,7.755815,0.28435,6.960807,0.123021,0.387637,0.0,,0.596744,0.020891731128266887
Jamaica,JAM,2021,7.689743,0.370658,6.344618,0.572235,0.402231,0.0,,2.719439,0.02071375389968332
Zambia,ZMB,2021,7.67618,2.463629,4.251568,0.0,0.960983,0.0,,0.394194,0.020677219434989062
Cyprus,CYP,2021,7.600422,0.201473,6.496579,0.00022,0.882317,0.0,0.019833,6.108741,0.02047315116275523
Congo,COG,2021,7.464369,0.0,2.027334,2.292486,0.28287,2.86168,,1.279064,0.020106667086588623
Latvia,LVA,2021,7.266214,0.137075,4.235802,2.27089,0.550832,1.1e-05,0.071604,3.87755,0.019572899715690567
El Salvador,SLV,2021,7.204384,0.004499,6.742418,0.0,0.457466,0.0,,1.140987,0.01940634910358072
Mozambique,MOZ,2021,7.156209,0.049964,4.170887,1.924001,1.011357,0.0,,0.223094,0.01927658077528714
North Macedonia,MKD,2021,6.851552,2.393694,3.383253,0.722861,0.351744,0.0,,3.257478,0.018455930446424938
Armenia,ARM,2021,6.806045,0.012484,0.991559,5.460901,0.341102,0.0,,2.438591,0.01833334887266976
Uruguay,URY,2021,6.737872,0.001891,6.286873,0.158497,0.290612,0.0,,1.966539,0.01814971220957151
Botswana,BWA,2021,6.499919,3.653634,2.846285,0.0,0.0,0.0,,2.51115,0.017508741518913663
Uganda,UGA,2021,5.780464,0.0,5.1987,0.0,0.581764,0.0,,0.126063,0.015570755579475027
Gabon,GAB,2021,5.712477,0.0,1.869693,1.117309,0.209246,2.51623,,2.44,0.015387619941993025
Burkina Faso,BFA,2021,5.698262,0.0,4.845777,0.0,0.852485,0.0,,0.257832,0.015349329193955801
Kosovo,KSV,2021,5.644358,3.216723,2.108867,0.0,0.318768,0.0,,3.396106,0.015204128737944656
Moldova,MDA,2021,5.60151,0.416131,2.612844,1.936286,0.636249,0.0,,1.829658,0.01508870967555289
New Caledonia,NCL,2021,5.496273,2.641332,2.825557,0.0,0.029384,0.0,,19.097542,0.014805234230516436
Equatorial Guinea,GNQ,2021,5.224788,0.0,1.11815,3.627915,0.0,0.478723,,3.196633,0.014073938857256819
Nicaragua,NIC,2021,5.05977,0.0,4.82716,0.0,0.23261,0.0,,0.738594,0.013629432162947534
Guinea,GIN,2021,4.841779,0.0,4.841779,0.0,0.0,0.0,,0.357805,0.01304223283439444
Albania,ALB,2021,4.619109,0.174413,3.246273,0.150245,1.048179,0.0,,1.618066,0.012442429748538061
Mauritius,MUS,2021,4.471674,1.637295,2.834379,0.0,0.0,0.0,,3.442622,0.01204528613708059
Madagascar,MDG,2021,4.244355,1.468185,2.687047,0.0,0.089123,0.0,,0.146784,0.011432960104504192
Mali,MLI,2021,4.169758,0.0,3.782265,0.0,0.387493,0.0,,0.190357,0.01123201920184273
Mauritania,MRT,2021,4.118111,0.0,4.118111,0.0,0.0,0.0,,0.892337,0.011092898395379244
Réunion,REU,2021,4.102958,1.883018,2.21994,0.0,0.0,0.0,,4.246802,0.011052080969771925
Namibia,NAM,2021,4.014822,0.048576,3.446255,0.0,0.519991,0.0,,1.586792,0.010814670250882816
Iceland,ISL,2021,3.374964,0.667573,2.526131,0.0002,,0.174873,0.006187,9.113272,0.009091093644649868
Occupied Palestinian Territory,PSE,2021,3.092231,0.0,3.092231,0.0,0.0,0.0,,0.602376,0.00832949969003797
Guyana,GUY,2021,3.087826,0.0,2.679087,0.0,0.16167,0.24707,,3.837874,0.008317634002728511
Haiti,HTI,2021,2.875923,0.0,2.798387,0.0,0.077537,0.0,,0.251226,0.007746833835206059
Suriname,SUR,2021,2.793206,0.0,2.77081,0.010566,0.01183,0.0,,4.556728,0.007524020201340779
Niger,NER,2021,2.698898,0.341988,2.163008,0.0,0.100748,0.093154,,0.106876,0.007269984051787882
Democratic Republic of the Congo,COD,2021,2.606688,0.0,2.155646,0.0,0.451042,0.0,,0.027183,0.007021599255691343
Bahamas,BHS,2021,2.386463,0.005078,2.381386,0.0,0.0,0.0,,5.850522,0.006428382232371088
Togo,TGO,2021,2.34202,0.0,1.279413,0.22059,0.842017,0.0,,0.270916,0.006308666740635719
Guadeloupe,GLP,2021,2.291068,0.41928,1.871788,0.0,0.0,0.0,,5.78478,0.006171418046017879
Lesotho,LSO,2021,2.282165,1.5822,0.699965,0.0,0.0,0.0,,1.000312,0.0061474361585908376
Maldives,MDV,2021,2.118174,0.0,2.118174,0.0,0.0,0.0,,4.06203,0.005705695879915338
Martinique,MTQ,2021,2.100146,0.0,2.100146,0.0,0.0,0.0,,5.6946,0.005657134106745092
Chad,TCD,2021,1.939918,0.0,1.440763,0.0,0.162747,0.336407,,0.112919,0.005225530168897175
Curaçao,CUW,2021,1.843765,0.0,1.843765,0.0,0.0,0.0,,9.686792,0.004966524168473461
Rwanda,RWA,2021,1.754532,0.019217,1.469808,0.101907,0.1636,0.0,,0.130333,0.004726158475922951
Montenegro,MNE,2021,1.751386,0.786839,0.964547,0.0,0.0,0.0,,2.789458,0.004717684139424526
Malta,MLT,2021,1.724154,0.0,0.880683,0.84328,0.0,0.0,0.000191,3.273205,0.004644329679308475
South Sudan,SSD,2021,1.58206,0.0,1.58206,0.0,0.0,0.0,,0.147192,0.004261573045358342
Malawi,MWI,2021,1.552193,0.226761,1.231271,0.0,0.094161,0.0,,0.07804,0.004181120722345486
Bhutan,BTN,2021,1.522086,0.448014,0.619953,0.0,0.454119,0.0,,1.957702,0.004100021914666509
Fiji,FJI,2021,1.470402,0.0,1.470402,0.0,0.0,0.0,,1.590295,0.003960801441816996
Sierra Leone,SLE,2021,1.299404,0.0,1.299404,0.0,0.0,0.0,,0.154312,0.0035001865045768245
Macao,MAC,2021,1.286771,0.0,1.03723,0.249541,,0.0,,1.874101,0.003466157167963794
Liberia,LBR,2021,1.19526,0.0,1.063512,0.0,0.131748,0.0,,0.230149,0.003219655258457335
Barbados,BRB,2021,1.125301,0.0,0.978746,0.057667,0.070568,0.01832,,4.001781,0.0030312076719686914
Swaziland,SWZ,2021,1.087219,0.190836,0.896383,0.0,0.0,0.0,,0.911889,0.0029286267175716793
French Polynesia,PYF,2021,0.9498,0.0,0.9498,0.0,0.0,0.0,,3.124014,0.002558463066180393
Aruba,ABW,2021,0.858126,0.0,0.858126,0.0,0.0,0.0,,8.054722,0.0023115220858381936
Eritrea,ERI,2021,0.820601,0.0,0.712103,0.0,0.108498,0.0,,0.226666,0.002210441514603808
Timor-Leste,TLS,2021,0.736328,0.0,0.65572,0.0,0.0,0.080608,,0.557426,0.0019834365051531657
Faeroe Islands,FRO,2021,0.698346,0.0,0.698346,0.0,0.0,0.0,,13.203997,0.0018811249193670385
Burundi,BDI,2021,0.692908,0.049964,0.613882,0.0,0.029062,0.0,,0.055206,0.0018664766543071425
Belize,BLZ,2021,0.689321,0.0,0.684527,0.0,0.0,0.004794,,1.72317,0.0018568144022347178
Cape Verde,CPV,2021,0.667694,0.0,0.667694,0.0,0.0,0.0,,1.135678,0.0017985580527587405
Gambia,GMB,2021,0.655699,0.0,0.655699,0.0,0.0,0.0,,0.248379,0.0017662472878831523
French Guiana,GUF,2021,0.651382,0.0,0.651382,0.0,0.0,0.0,,2.189895,0.0017546186449512707
Sint Maarten (Dutch part),SXM,2021,0.647902,0.0,0.647902,0.0,0.0,0.0,,14.711011,0.0017452446172924923
Somalia,SOM,2021,0.610374,0.0,0.610374,0.0,,0.0,,0.035766,0.0016441559649997804
Seychelles,SYC,2021,0.568279,0.0,0.568279,0.0,0.0,0.0,,5.337406,0.001530765248247976
Bermuda,BMU,2021,0.54796,0.0,0.54796,0.0,0.0,0.0,,8.537196,0.001476032240202367
Greenland,GRL,2021,0.510659,0.0,0.510659,0.0,0.0,0.0,,9.079509,0.0013755550546563629
Saint Lucia,LCA,2021,0.485927,0.0,0.485927,0.0,0.0,0.0,,2.704837,0.0013089348098124236
Antigua and Barbuda,ATG,2021,0.468695,0.0,0.468695,0.0,0.0,0.0,,5.027895,0.0012625172107848172
Andorra,AND,2021,0.452888,0.0,0.452888,0.0,0.0,0.0,,5.730292,0.0012199381144623142
Djibouti,DJI,2021,0.379178,0.0,0.301679,0.0,0.077499,0.0,,0.342974,0.0010213865113793948
Guinea-Bissau,GNB,2021,0.351839,0.0,0.351839,0.0,0.0,0.0,,0.170736,0.0009477438268496983
Turks and Caicos Islands,TCA,2021,0.341183,0.0,0.341183,0.0,0.0,0.0,,7.562677,0.0009190399076738525
Grenada,GRD,2021,0.31921,0.0,0.31921,0.0,0.0,0.0,,2.56167,0.0008598515428042149
Solomon Islands,SLB,2021,0.317925,0.0,0.317925,0.0,0.0,0.0,,0.449141,0.00085639015615435
Comoros,COM,2021,0.298171,0.0,0.298171,0.0,0.0,0.0,,0.362904,0.000803179080760238
Samoa,WSM,2021,0.29408,0.0,0.29408,0.0,0.0,0.0,,1.344282,0.0007921592108889557
Mayotte,MYT,2021,0.273281,0.0,0.273281,0.0,0.0,0.0,,0.864775,0.0007361332335111014
Palau,PLW,2021,0.238444,0.0,0.238444,0.0,0.0,0.0,,13.229228,0.0006422932905372896
Saint Kitts and Nevis,KNA,2021,0.237794,0.0,0.237794,0.0,0.0,0.0,,4.995041,0.0006405423945665408
Central African Republic,CAF,2021,0.227296,0.0,0.227296,0.0,0.0,0.0,,0.041651,0.0006122640777958925
Saint Vincent and the Grenadines,VCT,2021,0.21367,0.0,0.21367,0.0,0.0,0.0,,2.047981,0.000575559910876779
Tonga,TON,2021,0.174859,0.0,0.174859,0.0,0.0,0.0,,1.649345,0.00047101525930641963
Vanuatu,VUT,2021,0.174859,0.0,0.174859,0.0,0.0,0.0,,0.547911,0.00047101525930641963
Marshall Islands,MHL,2021,0.158962,0.0,0.158962,0.0,0.0,0.0,,3.780319,0.00042819373123412056
Micronesia (Federated States of),FSM,2021,0.158962,0.0,0.158962,0.0,0.0,0.0,,1.405118,0.00042819373123412056
British Virgin Islands,VGB,2021,0.158529,0.0,0.158529,0.0,0.0,0.0,,5.093802,0.0004270273651489909
Dominica,DMA,2021,0.158529,0.0,0.158529,0.0,0.0,0.0,,2.189268,0.0004270273651489909
Liechtenstein,LIE,2021,0.15095,0.0,0.095377,0.055573,0.0,0.0,0.0,3.866656,0.0004066119181300593
Anguilla,AIA,2021,0.144744,0.0,0.144744,0.0,0.0,0.0,,9.188354,0.00038989490213857115
Sao Tome and Principe,STP,2021,0.131978,0.0,0.131978,0.0,0.0,0.0,,0.591547,0.0003555073052730638
"Bonaire, Saint Eustatius and Saba",BES,2021,0.103389,0.0,0.103389,0.0,0.0,0.0,,3.871365,0.00027849751310731174
Cook Islands,COK,2021,0.091403,0.0,0.091403,0.0,0.0,0.0,,5.375721,0.000246210991406703
Kiribati,KIR,2021,0.071533,0.0,0.071533,0.0,0.0,0.0,,0.555062,0.00019268744842396515
Saint Pierre and Miquelon,SPM,2021,0.062033,0.0,0.062033,0.0,0.0,0.0,,10.544484,0.00016709743038994352
Nauru,NRU,2021,0.059611,0.0,0.059611,0.0,0.0,0.0,,4.764679,0.0001605733226343224
Wallis and Futuna Islands,WLF,2021,0.027818,0.0,0.027818,0.0,0.0,0.0,,2.392571,7.4932960175833e-05
Montserrat,MSR,2021,0.020678,0.0,0.020678,0.0,0.0,0.0,,4.681398,5.570004135868411e-05
Saint Helena,SHN,2021,0.013785,0.0,0.013785,0.0,0.0,0.0,,2.550917,3.71324630104198e-05
Niue,NIU,2021,0.011922,0.0,0.011922,0.0,0.0,0.0,,6.154972,3.211412578964271e-05
Tuvalu,TUV,2021,0.007948,0.0,0.007948,0.0,0.0,0.0,,0.7094,2.1409417193095145e-05
Panama Canal Zone,PCZ,2021,0.0,,,,,,,0.0,0.0
French Equatorial Africa,,2021,0.0,,,,,,,0.0,0.0
St. Kitts-Nevis-Anguilla,KNA,2021,0.0,,,,,,,0.0,0.0
French West Africa,,2021,0.0,,,,,,,0.0,0.0
Ryukyu Islands,,2021,0.0,,,,,,,0.0,0.0
Antarctica,ATA,2021,0.0,,,,,,,0.0,0.0
Puerto Rico,PRI,2021,0.0,,,,,,,0.0,0.0
Christmas Island,CXR,2021,0.0,,,,,,,0.0,0.0
Pacific Islands (Palau),,2021,0.0,,,,,,,0.0,0.0
Kuwaiti Oil Fires,,2021,0.0,,,,,,,0.0,0.0
Leeward Islands,,2021,0.0,,,,,,,0.0,0.0
